name,rating,reviews,details,highly_rated,critically_rated
TCS,3.7,(92.1k),IT Services & Consulting | Bangalore / Bengaluru +393 other locations,"Job Security, Work Life Balance","Job Security, Work Life Balance"
Accenture,3.8,(58.1k),IT Services & Consulting | Bangalore / Bengaluru +212 other locations,Job Security,Job Security
Wipro,3.7,(54.4k),IT Services & Consulting | Bangalore / Bengaluru +343 other locations,Job Security,Job Security
Cognizant,3.7,(51.5k),IT Services & Consulting | Chennai +199 other locations,None,Job Security
Capgemini,3.7,(43k),IT Services & Consulting | Bangalore / Bengaluru +169 other locations,"Work Life Balance, Job Security","Work Life Balance, Job Security"
HDFC Bank,3.9,(40.6k),Banking | Mumbai +1667 other locations,"Job Security, Skill Development / Learning","Job Security, Skill Development / Learning"
Infosys,3.6,(40.5k),IT Services & Consulting | Bangalore / Bengaluru +218 other locations,Job Security,Job Security
ICICI Bank,4.0,(39k),Banking | Mumbai +1357 other locations,"Job Security, Skill Development / Learning, Company Culture",None
HCLTech,3.5,(37.1k),IT Services & Consulting | Chennai +209 other locations,Job Security,Job Security
Tech Mahindra,3.5,(36k),IT Services & Consulting | Hyderabad / Secunderabad +296 other locations,None,Job Security
Genpact,3.8,(32.4k),IT Services & Consulting | Hyderabad / Secunderabad +145 other locations,"Job Security, Work Life Balance, Skill Development / Learning","Job Security, Work Life Balance, Skill Development / Learning"
Teleperformance,3.9,(30.4k),BPO | Mumbai +217 other locations,"Company Culture, Work Life Balance, Job Security",None
Concentrix Corporation,3.8,(27k),BPO | Bangalore / Bengaluru +150 other locations,Job Security,Job Security
Axis Bank,3.8,(26.1k),Banking | Mumbai +1391 other locations,None,Job Security
Amazon,4.1,(25.8k),Internet | Bangalore / Bengaluru +468 other locations,"Company Culture, Salary & Benefits, Work Life Balance","Company Culture, Salary & Benefits, Work Life Balance"
Jio,4.0,(23.8k),Telecom | Mumbai +1320 other locations,"Job Security, Skill Development / Learning, Work Life Balance","Job Security, Skill Development / Learning, Work Life Balance"
iEnergizer,4.6,(23.1k),BPO | Noida +42 other locations,"Company Culture, Work Life Balance, Work Satisfaction",None
Reliance Retail,3.9,(22.9k),Retail | Mumbai +1065 other locations,"Skill Development / Learning, Job Security","Skill Development / Learning, Job Security"
IBM,4.0,(22.9k),IT Services & Consulting | Bangalore / Bengaluru +245 other locations,"Work Life Balance, Company Culture, Job Security","Work Life Balance, Company Culture, Job Security"
LTIMindtree,3.8,(21.6k),IT Services & Consulting | Bangalore / Bengaluru +129 other locations,Work Life Balance,Work Life Balance
HDB Financial Services,3.9,(20.8k),NBFC | Mumbai +1007 other locations,"Company Culture, Job Security, Skill Development / Learning","Company Culture, Job Security, Skill Development / Learning"
Larsen & Toubro Limited,4.0,(19.1k),Engineering & Construction | Chennai +682 other locations,"Job Security, Skill Development / Learning","Job Security, Skill Development / Learning"
Deloitte,3.8,(18.2k),Management Consulting | Hyderabad / Secunderabad +163 other locations,"Job Security, Skill Development / Learning","Job Security, Skill Development / Learning"
Kotak Mahindra Bank,3.7,(17.4k),Banking | Mumbai +627 other locations,None,"Job Security, Skill Development / Learning"
Reliance Industries,4.0,(16.4k),Oil & Gas | Jamnagar +743 other locations,"Job Security, Skill Development / Learning, Work Life Balance","Job Security, Skill Development / Learning, Work Life Balance"
BYJU'S,3.1,(16.2k),EdTech | Bangalore / Bengaluru +315 other locations,None,"Job Security, Skill Development / Learning, Work Life Balance"
Vodafone Idea,4.0,(15.6k),Telecom | Pune +674 other locations,"Company Culture, Work Life Balance, Salary & Benefits",None
Bharti Airtel,4.0,(14k),Telecom | Gurgaon / Gurugram +720 other locations,"Skill Development / Learning, Salary & Benefits","Skill Development / Learning, Salary & Benefits"
WNS,3.4,(12.3k),BPO | Pune +52 other locations,None,"Skill Development / Learning, Salary & Benefits"
Tata Motors,4.2,(12.1k),Automobile | Pune +474 other locations,"Job Security, Company Culture, Work Life Balance",None
AU Small Finance Bank,4.2,(11.8k),Banking | Jaipur +707 other locations,"Company Culture, Work Life Balance, Job Security",None
IndusInd Bank,3.5,(11.3k),Banking | Mumbai +738 other locations,None,"Company Culture, Work Life Balance, Job Security"
Ernst & Young,3.4,(11.1k),Management Consulting | Bangalore / Bengaluru +115 other locations,None,"Company Culture, Work Life Balance, Job Security"
Flipkart,3.9,(11k),Internet | Bangalore / Bengaluru +526 other locations,"Company Culture, Job Security, Skill Development / Learning","Company Culture, Job Security, Skill Development / Learning"
IDFC FIRST Bank,3.9,(10.5k),Banking | Mumbai +630 other locations,Salary & Benefits,None
DXC Technology,3.7,(10.2k),IT Services & Consulting | Bangalore / Bengaluru +105 other locations,Work Life Balance,Work Life Balance
Infosys BPM,3.6,(10.1k),BPO | Bangalore / Bengaluru +83 other locations,Job Security,Job Security
Mahindra & Mahindra,4.1,(10k),Automobile | Pune +517 other locations,"Job Security, Skill Development / Learning, Company Culture","Job Security, Skill Development / Learning, Company Culture"
Bajaj Finserv,4.0,(9.6k),Financial Services | Pune +1006 other locations,"Salary & Benefits, Skill Development / Learning, Job Security",None
PwC,3.4,(9.5k),Management Consulting | Bangalore / Bengaluru +112 other locations,None,"Salary & Benefits, Skill Development / Learning, Job Security"
HDFC Life,4.0,(9.3k),Insurance | Mumbai +621 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",None
Conneqt Business Solutions,3.6,(9k),BPO | Hyderabad / Secunderabad +245 other locations,None,"Skill Development / Learning, Company Culture, Work Life Balance"
Mphasis,3.4,(8.6k),IT Services & Consulting | Bangalore / Bengaluru +54 other locations,None,"Skill Development / Learning, Company Culture, Work Life Balance"
Bandhan Bank,3.7,(8k),Banking | Kolkata +878 other locations,Job Security,Job Security
Yes Bank,3.7,(7.9k),Banking | Mumbai +480 other locations,None,Job Security
Startek,3.1,(7.7k),Bangalore / Bengaluru +78 other locations,None,Job Security
Paytm,3.3,(7.6k),FinTech | Noida +359 other locations,None,Job Security
Tata Steel,4.1,(7.6k),Iron & Steel | Jamshedpur +205 other locations,"Job Security, Work Life Balance, Skill Development / Learning","Job Security, Work Life Balance, Skill Development / Learning"
Asian Paints,4.0,(7.6k),Chemicals | Mumbai +487 other locations,"Salary & Benefits, Skill Development / Learning, Job Security","Salary & Benefits, Skill Development / Learning, Job Security"
Quess,3.9,(7.5k),BPO | Bangalore / Bengaluru +632 other locations,None,"Salary & Benefits, Skill Development / Learning, Job Security"
Maruti Suzuki,4.2,(7.4k),Automobile | Gurgaon / Gurugram +387 other locations,"Job Security, Salary & Benefits, Company Culture",None
UltraTech Cement,4.2,(7.4k),Building Material | Mumbai +477 other locations,"Job Security, Skill Development / Learning, Company Culture",None
Samsung,3.9,(7.3k),Consumer Electronics & Appliances | Noida +544 other locations,Salary & Benefits,Salary & Benefits
Shriram Finance,4.1,(7.3k),NBFC | Chennai +1014 other locations,"Job Security, Work Life Balance, Company Culture","Job Security, Work Life Balance, Company Culture"
Ericsson,4.1,(7.3k),Telecom | Noida +156 other locations,"Company Culture, Work Life Balance, Job Security","Company Culture, Work Life Balance, Job Security"
EXL Service,3.7,(7.2k),Analytics & KPO | Noida +52 other locations,Job Security,Job Security
Sutherland Global Services,3.6,(7.2k),IT Services & Consulting | Chennai +65 other locations,None,Job Security
Cipla,4.1,(7k),Pharma | Mumbai +257 other locations,"Skill Development / Learning, Salary & Benefits, Company Culture",None
Muthoot Fincorp,4.5,(7k),NBFC | Bangalore / Bengaluru +852 other locations,"Company Culture, Work Life Balance, Job Security",None
HGS,3.8,(7k),BPO | Bangalore / Bengaluru +111 other locations,"Job Security, Company Culture","Job Security, Company Culture"
Dr. Reddy's,4.0,(6.9k),Pharma | Hyderabad / Secunderabad +190 other locations,"Skill Development / Learning, Company Culture, Work Life Balance","Skill Development / Learning, Company Culture, Work Life Balance"
Bajaj Finance,4.0,(6.9k),NBFC | Pune +847 other locations,"Salary & Benefits, Skill Development / Learning, Job Security",None
Wells Fargo,3.8,(6.6k),Financial Services | Bangalore / Bengaluru +23 other locations,"Work Life Balance, Job Security","Work Life Balance, Job Security"
